segment_id,segment_name,lifecycle_stage,lifecycle_day,primary_goal,sub_goals,success_metric,priority
5,Social Competitors 5,trial,D5,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
5,Social Competitors 5,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
5,Social Competitors 5,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
5,Social Competitors 5,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
5,Social Competitors 5,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
5,Social Competitors 5,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
5,Social Competitors 5,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
5,Social Competitors 5,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
6,Social Competitors,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
6,Social Competitors,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
6,Social Competitors,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
6,Social Competitors,trial,D3,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
6,Social Competitors,trial,D4,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
6,Social Competitors,trial,D5,feature_discovery,"coins_rewards_usage,exploration",feature_coins_rewards_used = True,medium
6,Social Competitors,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
6,Social Competitors,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
6,Social Competitors,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
6,Social Competitors,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
6,Social Competitors,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
6,Social Competitors,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
6,Social Competitors,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
7,Casual Learners,trial,D0,activation,"onboarding_complete,first_exercise",exercises_completed >= 1,critical
7,Casual Learners,trial,D1,habit_formation,"daily_exercise,streak_building",streak_current >= 2,high
7,Casual Learners,trial,D2,habit_formation,"daily_exercise,streak_building",streak_current >= 3,high
7,Casual Learners,trial,D3,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
7,Casual Learners,trial,D4,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
7,Casual Learners,trial,D5,feature_discovery,"ai_tutor_usage,exploration",feature_ai_tutor_used = True,medium
7,Casual Learners,trial,D6,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
7,Casual Learners,trial,D7,conversion_readiness,"consistent_usage,value_realization",sessions_last_7d >= 5,critical
7,Casual Learners,paid,D8-D14,retention,"continued_engagement,habit_maintenance",exercises_completed >= 1,critical
7,Casual Learners,paid,D15-D21,expansion,"feature_exploration,advanced_usage",features_used >= 2,medium
7,Casual Learners,paid,D22-D30,advocacy,"high_engagement,potential_referral",sessions_last_7d >= 7,low
7,Casual Learners,churned,any,re_engagement,"win_back,value_reminder",sessions_last_7d >= 1,high
7,Casual Learners,inactive,any,activation,"first_engagement,value_discovery",exercises_completed >= 1,medium
